timestamp,dx_pixels_per_sec,dy_pixels_per_sec,speed_pixels_per_sec
1764762435.0640428,-1.9718815,6.700922,6.985032
1764762435.3388348,-1.024048,-0.28423265,1.0627617
1764762435.580985,1.8290689,-3.6545377,4.0867023
1764762435.8090622,-3.5402389,-8.806412,9.491374
1764762436.0396025,0.062254347,-6.3307543,6.3310604
1764762436.276256,0.17349733,-0.015183047,0.17416042
1764762436.5080514,-0.6764476,-0.13681611,0.6901449
1764762436.7396474,-8.560342,-0.4647664,8.572949
1764762436.9742434,3.3506982,4.515917,5.623227
1764762437.216539,0.088526376,-0.094324276,0.12935992
1764762437.4504309,0.12524813,3.9530275,3.9550111
1764762437.684871,1.8344591,39.833523,39.875744
1764762437.9219925,-1.7861464,1.5040182,2.3350353
1764762438.1602511,0.4383834,0.4216577,0.6082559
1764762438.6301312,3.2411945,0.8643805,3.3544738
1764762439.3379462,16.587727,-3.3903677,16.93066
1764762439.5697968,1.8967292,-0.695817,2.0203326
1764762439.8035595,-0.064151466,-0.05095901,0.08192821
1764762440.0356638,10.239943,2.7484026,10.602365
1764762440.4969177,-0.9805666,-2.4684486,2.6560779
1764762440.7326052,-0.33361372,-6.2427387,6.2516465
1764762440.9710844,1.3185471,1.7309556,2.1759534
1764762441.2086961,-0.6362882,-0.79671794,1.0196186
1764762441.4410117,-0.73548496,3.378407,3.4575386
1764762441.4410117,-0.73548496,3.378407,3.4575386
1764762442.137432,-0.2596969,0.13012692,0.2904746
1764762442.603268,-18.968616,-12.655371,22.80278
1764762442.8320925,-4.3765464,-5.3207874,6.88948
1764762443.3005388,-15.164498,8.728227,17.49697
1764762443.5282087,-0.9326083,2.132156,2.3271973
1764762443.7644954,-7.442155,1.5148993,7.594774
1764762444.0005414,1.4406974,-4.79801,5.0096416
1764762444.0005414,1.4406974,-4.79801,5.0096416
1764762444.7101629,-0.56832165,-6.4981465,6.5229516
1764762445.1858292,1.6569246,-0.91049486,1.8906084
1764762445.420993,-4.5263367,-0.515584,4.5556064
1764762445.6547925,21.682796,-11.079347,24.34945
1764762446.1171665,0.02252793,-3.1143599,3.1144412
1764762446.354238,-0.51270235,-1.5227786,1.6067727
1764762446.588577,-10.56148,-7.575256,12.997282
1764762446.824228,-1.2067152,-0.396863,1.2702999
1764762447.059606,-1.309445,-0.6664367,1.4692801
1764762447.2928257,-3.6195114,0.56489474,3.6633275
1764762447.527518,-19.567156,18.516958,26.939772
1764762447.7593064,6.3396435,32.80998,33.416847
1764762447.9969203,0.13462988,0.3936069,0.4159947
1764762448.2328,-0.5746469,0.031833433,0.57552797
1764762448.4648218,5.835515,6.920859,9.052708
1764762448.7008963,-41.44359,20.693523,46.322704
1764762448.9328904,5.582879,0.10970134,5.5839567
1764762449.1678848,13.591509,0.6810642,13.608562
1764762449.4007518,15.077045,-17.986135,23.46952
1764762449.6358798,-0.47757328,1.5774636,1.648171
1764762449.8692086,-2.6920435,1.1458993,2.925779
1764762450.104724,-33.516754,-21.836916,40.002796
1764762450.3376546,3.9690793,1.258096,4.1636996
1764762450.5735931,-0.41390437,-0.19025674,0.45553756
1764762451.0376318,-6.443354,55.201828,55.5766
1764762451.2706711,22.714018,-7.560831,23.939356
1764762451.5018754,-31.892635,-1.2623565,31.917608
1764762451.734707,-5.2147007,1.9892858,5.581251
1764762452.8825595,0.22228934,1.0091295,1.0333223
1764762453.3495133,-0.12295833,-5.1859007,5.1873584
1764762453.5835779,0.4464525,-31.338654,31.341833
1764762453.8182764,-0.3718756,-0.93694514,1.0080464
1764762454.0535376,11.539167,-11.755975,16.472866
1764762454.2906919,-2.566957,-0.13289632,2.5703948
1764762454.5220044,-0.29807195,15.294825,15.297729
1764762454.7580116,-0.5010817,20.564142,20.570246
1764762454.9926567,0.68033785,-0.05920861,0.68290937
1764762455.2292314,-1.0551591,0.019026434,1.0553306
1764762455.4643528,0.6041555,-2.2868164,2.3652766
1764762455.6981204,2.3247497,-0.4866217,2.3751342
1764762455.9319928,1.5018718,-0.18690968,1.5134578
1764762456.168011,0.26737726,-0.45591742,0.5285369
1764762456.4012063,10.389066,0.90239227,10.428183
1764762456.6349397,17.2164,-10.645268,20.241693
1764762456.8682508,0.063054346,-7.738013,7.73827
1764762457.1055634,0.5683972,0.5355902,0.7809816
1764762457.339124,-0.61319035,-0.43952554,0.7544436
1764762457.572991,0.4021326,-0.22331002,0.45997608
1764762457.8088384,1.2097107,0.68714845,1.3912487
1764762458.0438635,5.9022536,-0.97172415,5.9817095
1764762458.2784064,0.13167115,1.094203,1.1020969
1764762458.508693,-1.5845171,-0.23373346,1.6016635
1764762458.7405777,-0.3969316,4.136551,4.1555514
1764762458.9739516,-1.9490019,-3.5648487,4.0628505
1764762459.2107928,0.5606226,0.08314493,0.5667546
1764762459.4417925,0.08614647,0.9476611,0.9515686
1764762459.6761577,-0.6161326,-0.52978426,0.81258273
1764762459.9066322,-0.1524258,1.8088555,1.8152664
1764762460.3764164,19.99054,58.526237,61.846115
1764762461.0579748,-17.552752,17.965544,25.116924
1764762461.7449186,5.6452665,2.628147,6.227053
1764762462.7449186,5.6452665,2.628147,6.227053
1764762462.7449186,5.6452665,2.628147,6.227053
1764762462.339124,-0.61319035,-0.43952554,0.7544436
1764762463.3574858,10.417337,0.97465867,10.462833
1764762463.5896583,-19.226171,16.488747,25.328333
1764762463.8192794,25.431364,-14.740247,29.394373
1764762464.0504625,-23.557404,32.71974,40.317894
1764762464.2850373,-3.2124248,0.05327294,3.2128665
1764762464.9709942,20.433296,-14.122598,24.838827
1764762465.2047486,0.8644151,-2.5998697,2.739806
1764762465.2047486,0.8644151,-2.5998697,2.739806
1764762465.8893752,9.469536,-8.090863,12.455288
1764762466.804913,-3.2724352,-2.3706138,4.0408716
1764762466.804913,-3.2724352,-2.3706138,4.0408716
1764762467.0375843,-5.868594,-0.007880348,5.8685994
1764762467.2699056,8.635797,10.583385,13.659613
1764762467.2699056,8.635797,10.583385,13.659613
1764762468.409367,-4.6491303,-83.28375,83.413414
1764762468.640287,-14.26092,-21.181063,25.53451
1764762469.1046214,31.45288,-10.281212,33.090588
1764762469.3355737,-46.67223,14.607147,48.90466
1764762469.5646985,15.955221,79.761856,81.34201
1764762469.7964613,1.5961839,-4.254527,4.5440955
1764762470.0285861,14.731801,4.9082026,15.527924
1764762470.2656229,-14.135755,-0.35987264,14.140335
1764762470.7190654,-22.11619,3.887212,22.455206
1764762470.9509842,-2.9482958,0.019533483,2.9483607
1764762471.1869965,-49.96294,67.47274,83.95753
1764762471.4159732,-26.426886,29.436226,39.55846
1764762471.6493082,42.62569,53.038723,68.04451
