timestamp,dx_pixels_per_sec,dy_pixels_per_sec,speed_pixels_per_sec
1764755102.1498933,20.570055,-8.3399935,22.196455
1764755102.3813412,8.5553665,-6.9333277,11.012054
1764755102.6124084,79.36278,-64.84854,102.48797
1764755102.8381374,101.382965,-2.7662394,101.4207
1764755103.0643992,-22.697714,-24.094013,33.10148
1764755103.296554,-1.4360342,7.210899,7.3525
1764755103.5258894,10.24237,-5.9286923,11.834506
1764755103.7583697,-63.966076,-54.84292,84.257965
1764755103.9864573,86.2342,-52.740623,101.08369
1764755104.2109716,13.482435,2.2428067,13.667708
1764755104.441275,112.97696,49.931744,123.51911
1764755104.670853,92.29029,-1.6035862,92.30422
1764755104.8950732,13.677228,-38.380634,40.744812
1764755105.1188893,71.5752,16.676641,73.49231
1764755105.3413107,-22.31759,37.609234,43.732475
1764755105.5660858,-0.68907493,-35.135403,35.14216
1764755105.7905905,24.294483,0.7294148,24.305431
1764755106.017465,0.6669565,81.31006,81.3128
1764755106.243801,-42.59608,8.656353,43.466755
1764755106.4742618,1.4639932,93.025345,93.036865
1764755106.6966727,-37.080563,-65.02434,74.85408
1764755106.9180312,-33.39627,17.807068,37.847095
1764755107.1426787,87.436775,13.685303,88.50128
1764755107.365648,-113.13444,-24.230495,115.70013
1764755107.5884478,-84.06632,-51.470642,98.57166
1764755107.8105412,73.8592,95.28956,120.562355
1764755108.0387342,-85.95448,-39.75692,94.703674
1764755108.2623453,-13.930996,5.8553133,15.111497
1764755108.4931235,-119.997734,-43.135906,127.51534
1764755108.719607,-90.44215,-54.33059,105.50637
1764755108.9501457,2.5186248,17.214788,17.398058
1764755109.1849778,-95.64857,-42.660736,104.73102
1764755109.4121659,-62.36692,-45.90864,77.441826
1764755109.6344886,3.4738972,-4.967576,6.0617466
1764755109.8654475,38.948368,109.954796,116.649185
1764755110.089947,0.061832894,-107.458374,107.45839
1764755110.3179739,-8.674384,-74.43381,74.93755
1764755110.5430503,-53.11974,-1.3336418,53.13648
1764755110.7684152,-67.02072,-44.246204,80.3088
1764755110.9940393,29.622852,15.216503,33.302483
1764755111.2197733,116.73259,39.709915,123.30196
1764755111.4487784,-13.649447,25.37515,28.81329
1764755111.676105,69.89389,45.81498,83.571335
1764755111.905552,-47.371384,-63.229202,79.0062
1764755112.128351,-11.781643,0.8009535,11.808837
1764755112.3622065,-69.35614,-45.965973,83.20544
1764755112.5875907,6.7958703,9.066307,11.330568
1764755112.8216403,1.8833212,-2.5567183,3.1754854
1764755113.0508418,38.39515,62.58268,73.42193
1764755113.2745998,81.810295,97.6797,127.41369
1764755113.5041604,-74.53974,-9.843482,75.18688
1764755113.734729,52.243973,20.525366,56.1313
1764755113.9624732,-2.5685441,4.4018927,5.096477
1764755114.1909647,1.992496,53.77619,53.81309
1764755114.4151976,-42.89912,-75.81877,87.11384
1764755114.6410847,52.528088,-104.942154,117.3544
1764755114.8744426,95.40207,-43.11127,104.690674
1764755115.1026936,-14.5915575,-0.5876606,14.603387
1764755115.3331063,5.762978,-0.8407505,5.823983
1764755115.5646827,12.158344,5.0370526,13.160442
1764755115.7995179,85.36051,14.696433,86.61641
1764755116.0274494,71.423874,27.080591,76.38539
1764755116.2529771,0.010859613,-8.744501,8.744508
1764755116.4840505,-4.5360227,9.804656,10.803091
1764755116.7156222,3.6766376,-61.47912,61.588955
1764755116.9460514,-6.6444774,-2.2574544,7.017491
1764755117.1787357,1.3048148,-6.084938,6.2232637
1764755117.4100385,36.73257,77.259315,85.54697
1764755117.636024,-5.7168694,49.686947,50.01475
